,Name,Full Path,Complexity,Amount of changes,Complexity Trend
app/models/account_summary.rb,account_summary.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/models/account_summary.rb,25.0,0,
app/models/account_alias.rb,account_alias.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/models/account_alias.rb,60.0,1,
app/models/account.rb,account.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/models/account.rb,621.0,10,
app/models/account_filter.rb,account_filter.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/models/account_filter.rb,125.0,5,
app/models/tag.rb,tag.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/models/tag.rb,141.0,3,
app/models/preview_card_provider.rb,preview_card_provider.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/models/preview_card_provider.rb,57.0,1,
app/models/status.rb,status.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/models/status.rb,523.0,18,
app/models/account_migration.rb,account_migration.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/models/account_migration.rb,83.0,1,
app/models/block.rb,block.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/models/block.rb,40.0,0,
app/models/poll.rb,poll.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/models/poll.rb,121.0,3,
app/models/user_ip.rb,user_ip.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/models/user_ip.rb,19.0,1,
app/models/trends.rb,trends.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/models/trends.rb,49.0,2,
app/models/list_feed.rb,list_feed.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/models/list_feed.rb,7.0,0,
app/models/announcement_mute.rb,announcement_mute.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/models/announcement_mute.rb,19.0,0,
app/models/custom_emoji_category.rb,custom_emoji_category.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/models/custom_emoji_category.rb,17.0,0,
app/models/remote_follow.rb,remote_follow.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/models/remote_follow.rb,79.0,0,
app/models/featured_tag.rb,featured_tag.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/models/featured_tag.rb,47.0,1,
app/models/account_deletion_request.rb,account_deletion_request.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/models/account_deletion_request.rb,20.0,0,
app/models/ip_block.rb,ip_block.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/models/ip_block.rb,41.0,0,
app/models/report_filter.rb,report_filter.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/models/report_filter.rb,55.0,1,
app/models/mention.rb,mention.rb,/Users/uzh/Library/CloudStorage/OneDrive-UniversitätZürichUZH/Uni/Master 3/Fundamentals of Software Systems/Exercise/05/git_repo/fund-soft-systems-analyse-mastodon/mastodon/mastodon/app/models/mention.rb,35.0,0,
